,date,wti,open,high,low,volume,wti_cr
712,2022-09-12,87.78,86.25,89.1,85.16,275.10K,+1.14%
713,2022-09-13,87.31,88.09,89.31,85.06,348.00K,-0.54%
714,2022-09-14,88.48,87.94,90.19,86.18,335.38K,+1.34%
715,2022-09-15,85.1,88.91,89.15,84.53,235.36K,-3.82%
716,2022-09-16,85.11,85.16,86.59,84.27,87.83K,+0.01%
717,2022-09-19,85.73,85.21,86.22,82.1,59.63K,+0.73%
718,2022-09-20,84.45,85.61,86.45,83.52,26.23K,-1.49%
719,2022-09-21,82.94,84.25,86.68,82.49,339.68K,-1.79%
720,2022-09-22,83.49,83.07,86.0,82.4,303.49K,+0.66%
721,2022-09-23,78.74,83.54,83.92,78.04,334.27K,-5.69%
722,2022-09-26,76.71,79.23,80.31,76.25,280.93K,-2.58%
723,2022-09-27,78.5,76.47,79.51,76.42,283.61K,+2.33%
724,2022-09-28,82.15,78.08,82.34,76.55,324.68K,+4.65%
725,2022-09-29,81.23,81.9,82.94,80.34,286.13K,-1.12%
726,2022-09-30,79.49,81.74,82.56,79.14,253.15K,-2.14%
727,2022-10-03,83.63,81.02,84.56,80.87,287.17K,+5.21%
